Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
4,1712488020067,07/04/2024 11:07:00,1712491620067,1,07/04/2024 13:07:00,139619,19,task-77zz,,36808156,BLIND,10853280,,complete,,66127707f08f0db0e246879c,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,13590.700000000186,13574.400000000001,13590.700000000186,13590.700000000186,13574.400000000001,13590.700000000186,0,13590.700000000186,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1712488020071,07/04/2024 11:07:00,1712491620071,1,07/04/2024 13:07:00,139619,19,task-77zz,,36808156,BLIND,10853280,,complete,,66127707f08f0db0e246879c,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,12425.400000000001,13574.400000000001,13591.000000000004,12425.400000000001,13574.400000000001,13591.000000000004,1,12425.400000000001,1165.6000000000022,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1712488036927,07/04/2024 11:07:16,1712491636927,1,07/04/2024 13:07:16,139619,19,task-77zz,,36808156,BLIND,10853280,,complete,,66127707f08f0db0e246879c,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Fich Question,old87p,3,response,us,11825.299999999996,16872,16875.900000000744,11825.299999999996,16872,16875.900000000744,1,11825.299999999996,5050.600000000748,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1712488049887,07/04/2024 11:07:29,1712491649887,1,07/04/2024 13:07:29,139619,19,task-77zz,,36808156,BLIND,10853280,,complete,,66127707f08f0db0e246879c,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,you,11475.599999999999,12958.099999999999,12963.800000000185,11475.599999999999,12958.099999999999,12963.800000000185,1,11475.599999999999,1488.2000000001863,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1712488058039,07/04/2024 11:07:38,1712491658039,1,07/04/2024 13:07:38,139619,19,task-77zz,,36808156,BLIND,10853280,,complete,,66127707f08f0db0e246879c,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,did,6845.4000000000015,8144.5,8157.700000000186,6845.4000000000015,8144.5,8157.700000000186,1,6845.4000000000015,1312.3000000001848,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1712488068482,07/04/2024 11:07:48,1712491668482,1,07/04/2024 13:07:48,139619,19,task-77zz,,36808156,BLIND,10853280,,complete,,66127707f08f0db0e246879c,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,three,7312,10443.199999999997,10456.100000000559,7312,10443.199999999997,10456.100000000559,1,7312,3144.100000000559,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1712488071000,07/04/2024 11:07:51,1712491671000,1,07/04/2024 13:07:51,139619,19,task-77zz,,36808156,BLIND,10853280,,complete,,66127707f08f0db0e246879c,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,2530.9000000005617,2514.9000000000087,2530.9000000005617,2530.9000000005617,2514.9000000000087,2530.9000000005617,1,2530.9000000005617,0,0,,Click To Continue,Continue Button,2,object-4,End,
11,1712488071002,07/04/2024 11:07:51,1712491671002,1,07/04/2024 13:07:51,139619,19,task-77zz,,36808156,BLIND,10853280,,complete,,66127707f08f0db0e246879c,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1712489060954,07/04/2024 11:24:20,1712492660954,1,07/04/2024 13:24:20,139619,19,task-77zz,,36808342,BLIND,10853383,,complete,,66127d52a6d69e8a71a74e55,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1920x1080,1872x958,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712489071557,07/04/2024 11:24:31,1712492671557,1,07/04/2024 13:24:31,139619,19,task-77zz,,36808342,BLIND,10853383,,complete,,66127d52a6d69e8a71a74e55,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1920x1080,1872x958,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,11218.40000000596,11215.4,11218.40000000596,11218.40000000596,11215.4,11218.40000000596,0,11218.40000000596,0,0,,Click To Continue,Continue Button,2,object-8,End,
